MalfunctionDate,NotificationNo,NotificationSO,CustomerName,NotificationSubject,EmployeeName,Status
1/10/2014 9:00:01 AM,000700142537,000200367030,"Vithenglee 2003 Co.,Ltd.",,Prachaya_s,Open
1/9/2014 1:00:58 PM,000100685718,000200367036,Phaharuethai Convent School,ไม่เย็นห้องserver ชั้น2,Prachaya_s,Open
1/9/2014 10:00:17 AM,000100686089,000300555506,คุณ.สุวันเพ็ญ คนเทศ,Not Working/ไม่ทำงาน,Prachaya_s,Assigned
1/9/2014 1:00:32 PM,000100685716,000200367035,Phaharuethai Convent School,ไฟกระพริบ ห้องโถงชั้น 2,Prachaya_s,Assigned
1/9/2014 1:00:28 PM,000100685731,000200367034,Phaharuethai Convent School,ไม่เย็น สำนักเลขาชั้น 1,Prachaya_s,Assigned
1/9/2014 1:00:59 PM,000100685734,000200367033,Phaharuethai Convent School,ห้องนอนชั้น 5 ไม่เย้น,Prachaya_s,Assigned
1/9/2014 1:00:49 PM,000100685730,000200367037,Phaharuethai Convent School,ไม่เย็น สำนักเลขาชั้น 1,Prachaya_s,Assigned
1/7/2014 10:00:09 AM,000100685435,000300555072,คุณ.ศักดิ์ชาย ฉินเจนประดิษฐ์,Not Working/ไม่ทำงาน,Prachaya_s,Finish
1/8/2014 10:00:54 AM,000100685693,000300555325,Benjawan Sutchiewcharn,Other/อื่นๆ,Prachaya_s,Finish
1/7/2014 1:00:06 PM,000100685553,000300555170,บริษัท ชัยยงสิน (ซี.เอส.) จำกัด,ไม่เย็น น้ำยาแอร์รั่ว*Ref*100685073,Prachaya_s,Finish
1/7/2014 3:00:12 PM,000100685547,000300555171,บริษัท.นันทพล แมนชั่น จำกัด .,Not Working/ไม่ทำงาน,Prachaya_s,Finish
1/6/2014 11:23:22 AM,000700142634,000200366597,Siriraj Hospital,,Prachaya_s,Finish
1/3/2014 12:08:05 PM,000700142621,000200366395,Metro Systems Corporation Pcl.,,Prachaya_s,Finish
