MalfunctionDate,NotificationNo,NotificationSO,CustomerName,NotificationSubject,EmployeeName,Status
10/24/2013 4:48:50 PM,000100671603,000300549041,"Union Science Co.,Ltd.",Error 2,Samphan_c,Assigned
10/9/2013 10:54:39 AM,000100671857,000300548496,"Sopon Lab Center Co., Ltd",ไม่แจ้งอาการ,Samphan_c,Assigned
10/8/2013 4:21:03 PM,000100673011,000300548497,"Burapa Science Co., Ltd.",ไม่ร้อน,Samphan_c,Finish
10/11/2013 12:15:00 PM,000200057760,000700101694,Jebsen & Jessen Technology (T) Ltd,training,Samphan_c,Finish
10/18/2013 3:33:56 PM,000100676277,000300548090,Mahidol University,อุณหภูมิไม่ตรง,Samphan_c,Finish
10/16/2013 12:03:00 PM,000200057817,000700101735,Jebsen & Jessen Technology (T) Ltd,training,Samphan_c,Finish
10/18/2013 3:22:00 PM,000100674439,000300548043,"Thai Vegetable Oil Public Co.,Ltd.",Err 1,Samphan_c,Finish
10/1/2013 4:25:00 PM,000100673012,000300546448,Arsom Co Ltd .,ไม่ร้อน,Samphan_c,Finish
10/2/2013 2:20:00 PM,000200057610,000700101511,Jebsen & Jessen Technology (T) Ltd,training,Samphan_c,Finish
10/9/2013 3:41:00 PM,000100673199,000300548013,"Vidhyasom Sriracha Co.,ltd.",หน้าจอดับ,Samphan_c,Finish
10/1/2013 9:43:00 AM,000100673787,000300545833,Arsom Co Ltd .,เปิดไม่ติด,Samphan_c,Finish
10/14/2013 2:04:37 PM,000100675092,000300547858,บริษัท เพอร์ฟอร์แมนซ์ ซายน์ จำกัด,ปรับตั้งค่าไม่ได้,Samphan_c,Finish
10/8/2013 2:17:00 PM,000100671914,000300546791,"Bangkok science and service Co.,Ltd",ไม่แจ้งอาการเสีย *,Samphan_c,Finish
10/28/2013 11:28:53 AM,000100677243,000300548699,AB Food & Beverages (Thailand) Ltd.,อุณหภูมิไม่ตรง,Samphan_c,Finish
10/2/2013 11:14:00 AM,000200057614,000700101383,Jebsen & Jessen Technology (T) Ltd,training,Samphan_c,Finish
